"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
,4.1,"4.1. Demand Response (DR). Level 1 - Basic","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
what is DR.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Avoids
simultaneous usage of appliances. Reduces electricity consumption at the house
level and on per electric appliance level (i.e. load curtailment / shedding)</span>.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Takes
responsible decisions for participation in DR</span>.<br /></span></li></ol>",1,,,,0,null,,70,,
,4.2,"4.2. Demand Response (DR). Level 2 - Intermediate","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
how to shift jobs from peak hours to non-peak hours (i.e. load shifting).</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Shifts
jobs from peak hours to non-peak hours (i.e. load shifting)</span>.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Takes
responsible decisions about reducing electricity consumption</span>.<br /></span></li></ol>",1,,,,0,null,,72,,
,4.3,"4.3. Demand Response (DR). Level 3 - Expert","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
the consequences of participation in DR</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Reacts
appropriately to DR messages. Possesses the trade-off skills to balance between
energy (bill) cost and discomfort (i.e. lower electricity bill incurs some
acceptable level of discomfort).</span></span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Possesses
knowledge and skills to participate autonomously in DR events/activities.</span><br /></span></span></li></ol>",1,,,,0,null,,73,,
,5.1,"5.1. Smart Grid. Level 1 - Basic","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Basic
concept of smart grid. How does the electricity market work?</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Identifies types of
electricity market, including smart grid types</span>.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Takes responsible
actions for selection and joining particular type of electricity market</span>.<br /></span></li></ol>",1,,,,0,null,,74,,
,5.2,"5.2. Smart Grid. Level 2 - Intermediate","<ol><li><b>Knowledge</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Knows
what energy prosumer is. <del cite=""mailto:Prodromos%20Makris""></del>Knows
the basics of EU liberalised electricity markets.</span></li><li><span xml:lang=""en-gb"" lang=""en-gb""><b>Skills</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Makes informed choices
in the context of the EU liberalised electricity
markets</span>.</span></li><li><span xml:lang=""en-gb"" lang=""en-gb""><b>Responsibility and autonomy</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Acts
as a responsible energy consumer / prosumer. </span><span xml:lang=""en-gb"" lang=""en-gb"">Makes responsible autonomous choices for participation of the EU
liberalised electricity market</span>.<br /></span></li></ol>",1,,,,0,null,,75,,
,5.3,"5.3. Smart Grid. Level 3 - Expert","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
the environmental impact of energy efficiency. Knows how to identify the
products minimum description related to kWh/CO2 information.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Uses
the products minimum description related to kWh/CO2 information</span>.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Assess
autonomously the environmental impact of energy efficiency</span>.<br /></span></li></ol>",1,,,,0,null,,76,,
,6.1,"6.1. Types of pricing schemes and energy programs. Level 1 - Basic","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
major energy programs: Traditional flat electricity tariff, Inclining Block
Rates (IBR) pricing.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Can
use the following pricing schemes: Traditional flat electricity tariff, Inclining
Block Rates (IBR) pricing</span>.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">In a
given context, makes responsible and autonomous choice between the following
pricing schemes: Traditional flat electricity tariff; Inclining Block Rates
(IBR) pricing.</span><br /></span></li></ol>",1,,,,0,null,,77,,
,6.2,"6.2. Types of pricing schemes and energy programs. Level 2 - Intermediate","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
major energy programs: Time-of-Use (ToU) electricity pricing; Real-Time Pricing
(RTP).</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Can
use the following pricing schemes: Time-of-Use (ToU) electricity pricing; Real-Time
Pricing (RTP).</span></span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">In a
given context, makes responsible and autonomous choice between the following
pricing schemes: Time-of-Use (ToU) electricity pricing; Real-Time Pricing (RTP).</span><br /></span></span></li></ol>",1,,,,0,null,,78,,
,6.3,"6.3. Types of pricing schemes and energy programs. Level 3 - Expert","<ol><li><b>Knowledge</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Knows
major energy programs: Personalized RTP; Community RTP.</span></li><li><span xml:lang=""en-gb"" lang=""en-gb""><b>Skills</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Can
use the following pricing schemes: Personalised RTP; Community RTP</span>.</span></li><li><span xml:lang=""en-gb"" lang=""en-gb""><b>Responsibility and autonomy</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">In a given
context, makes responsible and autonomous choice between the following pricing
schemes: Personalized RTP; Community RTP.</span><br /></span></li></ol>",1,,,,0,null,,79,,
,7.1,"7.1. Energy communities. Level 1 - Basic","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
what are Energy Communities.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Has
skills to participate in energy communities</span>.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Makes responsible and
autonomous decisions about participation in energy communities</span>.<br /></span></li></ol>",1,,,,0,null,,80,,
,7.2,"7.2. Energy communities. Level 2 - Intermediate","<ol><li><b>Knowledge</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Knows
how to form an energy community.</span></li><li><span xml:lang=""en-gb"" lang=""en-gb""><b>Skills</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Has
skills to form energy communities</span>.</span></li><li><span xml:lang=""en-gb"" lang=""en-gb""><b>Responsibility and autonomy</b><br /><span xml:lang=""en-gb"" lang=""en-gb"">Makes responsible and
autonomous decisions about participation in energy communities</span>.<br /></span></li></ol>",1,,,,0,null,,81,,
,7.3,"7.3. Energy communities. Level 3 - Expert","<ol><li><b>Knowledge</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Knows
how to manage an energy community.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Skills</b><br /><span lang=""en-gb"" xml:lang=""en-gb""></span><span lang=""en-gb"" xml:lang=""en-gb"">Has
skills to manage energy communities</span>.</span></li><li><span lang=""en-gb"" xml:lang=""en-gb""><b>Responsibility and autonomy</b><br /><span lang=""en-gb"" xml:lang=""en-gb"">Makes responsible and
autonomous decisions in managing energy communities.</span><br /></span></li></ol>",1,,,,0,null,,82,,
